Nom,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche,Photo,Adresse,Latitude,Longitude,Id,Vérifié
Le Calbar,17:00-02:00,17:00-02:00,17:00-02:00,17:00-02:00,17:00-02:00,17:00-02:00,,calbar1.jpg (https://dl.airtable.com/BJKLj85DRsGw8SqRqIVI_calbar1.jpg),"82 Rue de Charenton, 75012 Paris",48.8486885,2.3731003,80,checked
Candelaria,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-0:00,12:00-0:00,12:00-23:00,candelaria.jpg (https://dl.airtable.com/i8nGZnxXQfWHAZ2CDCwz_candelaria.jpg),"56 rue de Saintonge, 75003 Paris",48.8629845,2.3618453,82,checked
Le Zinc,08:00-2:00,08:00-2:00,08:00-2:00,08:00-2:00,08:00-2:00,08:00-2:00,09:00-2:00,le-zinc-corner-1200x900.jpg (https://dl.airtable.com/HL79upJwQNaQlH5710k9_le-zinc-corner-1200x900.jpg),"61 Avenue de la Motte-Picquet, 75015 Paris",48.8495731,2.2967442,83,checked
Au Dernier Métro,07:00-02:00,07:00-02:00,06:00-02:00,06:00-02:00,06:00-02:00,06:00-02:00,06:00-02:00,photo-635633423166610601-2.jpg (https://dl.airtable.com/ipqzmVJTRRKJWXwg2s1B_photo-635633423166610601-2.jpg),"70 Boulevard de Grenelle, 75015 Paris",48.8503747,2.2907624,84,checked
Celtic Corner Pub,16:00-02:00,16:00-02:00,16:00-02:00,16:00-02:00,16:00-02:00,16:00-02:00,,13522023_10153758550176375_8672208421626093102_n.jpg (https://dl.airtable.com/lXs7vVxCRtW6ckrihgk8_13522023_10153758550176375_8672208421626093102_n.jpg),"88 Rue de la Croix Nivert, 75015 Paris",48.8438576,2.2936165,85,checked
Le Cristal,15:00-02:00,15:00-02:00,15:00-02:00,15:00-02:00,15:00-02:00,15:00-02:00,,cristal.jpg (https://dl.airtable.com/cYH2W6IOR0OtPtKbkSzL_cristal.jpg),"163 Avenue de Suffren, 75015 Paris",48.8457869,2.3077324,86,checked
Brewberry,,15:00-23:00,15:00-23:00,15:00-23:00,15:00-23:00,15:00-23:00,15:00-21:00,IMG_1830.JPG (https://dl.airtable.com/0O9cmzFHQty5bOSeBdu7_IMG_1830.JPG),"18 Rue du Pot de Fer, 75005 Paris",48.8429735,2.3463643,87,checked
Les Prolongations,09:00-02:00,09:00-02:00,06:00-02:00,06:00-02:00,06:00-02:00,06:00-02:00,06:00-02:00,5076b6dc601154.90885972.page_slider_8.jpg (https://dl.airtable.com/q9AtdsY4Tc2Mevnr3a28_5076b6dc601154.90885972.page_slider_8.jpg),"76 Boulevard de Grenelle, 75015 Paris",48.8501887,2.2914647,89,checked
Rosa Bonheur sur Seine,,,12:00-00:00,12:00-1:30,12:00-1:30,12:00-1:30,11:30-22:00,rosabonheursurseine.jpg (https://dl.airtable.com/ewthWAkvSxmW8FxSPwwq_rosabonheursurseine.jpg),"Port des Invalides, Quai d'Orsay, 75007 Paris",48.8633276,2.3133218,90,checked
The Club,16:00-2:00,16:00-2:00,16:00-2:00,16:00-2:00,16:00-2:00,16:00-2:00,,theclub.png (https://dl.airtable.com/Tx7cKoqQoKvEatmuUC52_theclub.png),"24 Rue Surcouf, 75007 Paris",48.8604105,2.3072063,91,checked
The Frog & Princess,17:30-1:00,17:30-1:00,17:30-1:00,17:30-2:00,17:30-2:00,12:00-2:00,12:00-1:00,thefrogprincess.png (https://dl.airtable.com/fLRw8FbzSyCbigh6nRoI_thefrogprincess.png),"9 Rue Princesse, 75006 Paris",48.8522805,2.3324949,92,checked
Little Red Door,18:00-2:00,18:00-2:00,18:00-2:00,18:00-2:00,18:00-2:00,18:00-3:00,18:00-2:00,thelittlereddoor.png (https://dl.airtable.com/9tkrwYKlQlKMQTXrKeDG_thelittlereddoor.png),"60 Rue Charlot, 75003 Paris",48.8637397,2.3614976,93,checked
